Generation,Average Fitness,Best Fitness So Far,Best with secondary data
374,-0.35649442700492456,-0.3072209313927111,-0.3684240741941827
375,-0.34460246386816373,-0.3072209313927111,-0.3684240741941827
376,-0.3470338972727421,-0.3072209313927111,-0.3684240741941827
377,-0.3447431233291988,-0.3072209313927111,-0.3684240741941827
378,-0.35090524773411114,-0.3072209313927111,-0.3684240741941827
379,-0.3557405677184506,-0.3072209313927111,-0.3684240741941827
380,-0.3505808870466502,-0.3072209313927111,-0.3684240741941827
381,-0.34553117606874467,-0.3072209313927111,-0.3684240741941827
382,-0.34937266503435743,-0.3072209313927111,-0.3684240741941827
383,-0.35571441258913344,-0.3072209313927111,-0.3684240741941827
384,-0.35063359879297434,-0.3072209313927111,-0.3684240741941827
385,-0.3465752787872472,-0.3072209313927111,-0.3684240741941827
386,-0.3491710695897348,-0.3072209313927111,-0.3684240741941827
387,-0.33477326149568704,-0.3072209313927111,-0.3684240741941827
388,-0.3361534656637495,-0.3072209313927111,-0.3684240741941827
389,-0.3431634470926759,-0.3072209313927111,-0.3684240741941827
390,-0.3404292049016913,-0.3072209313927111,-0.3684240741941827
391,-0.34412632367415524,-0.3072209313927111,-0.3684240741941827
392,-0.3432611526939028,-0.3072209313927111,-0.3684240741941827
393,-0.3535310391067248,-0.3072209313927111,-0.3684240741941827
394,-0.3521226413597568,-0.3072209313927111,-0.3684240741941827
395,-0.34300124933188336,-0.3072209313927111,-0.3684240741941827
396,-0.33865694876598995,-0.3072209313927111,-0.3684240741941827
397,-0.3374148421074127,-0.3072209313927111,-0.3684240741941827
398,-0.348060009634038,-0.3072209313927111,-0.3684240741941827
399,-0.3431061610687398,-0.3072209313927111,-0.3684240741941827
400,-0.34787228998165914,-0.3072209313927111,-0.3684240741941827
401,-0.3478515492302246,-0.3072209313927111,-0.3684240741941827
402,-0.3365350122832511,-0.3072209313927111,-0.3684240741941827
403,-0.34238233909736626,-0.3072209313927111,-0.3684240741941827
404,-0.35078960078055227,-0.3072209313927111,-0.3684240741941827
405,-0.3438418449846783,-0.3072209313927111,-0.3684240741941827
406,-0.3530327953644962,-0.3072209313927111,-0.3684240741941827
407,-0.34686640143258957,-0.3072209313927111,-0.3684240741941827
408,-0.34587053675736057,-0.3072209313927111,-0.3684240741941827
409,-0.35887433210579206,-0.3072209313927111,-0.3684240741941827
410,-0.35151956619755687,-0.3072209313927111,-0.3684240741941827
411,-0.35028147339495724,-0.3072209313927111,-0.3684240741941827
412,-0.3425496602169343,-0.3072209313927111,-0.3684240741941827
413,-0.34403102772203575,-0.3072209313927111,-0.3684240741941827
414,-0.34452703517840866,-0.3072209313927111,-0.3684240741941827
415,-0.3421570313765938,-0.3072209313927111,-0.3684240741941827
416,-0.34834011650747976,-0.3072209313927111,-0.3684240741941827
417,-0.34135711481785463,-0.3072209313927111,-0.3684240741941827
418,-0.34687791183270117,-0.3072209313927111,-0.3684240741941827
419,-0.3442476393494446,-0.3072209313927111,-0.3684240741941827
420,-0.3487807048082284,-0.3072209313927111,-0.3684240741941827
421,-0.3429985080487004,-0.3072209313927111,-0.3684240741941827
422,-0.34475887405923733,-0.3072209313927111,-0.3684240741941827
423,-0.34640490495304044,-0.3072209313927111,-0.3684240741941827
424,-0.352866348516144,-0.3072209313927111,-0.3684240741941827
425,-0.34924270214207664,-0.3072209313927111,-0.3684240741941827
426,-0.34951512246917493,-0.3072209313927111,-0.3684240741941827
427,-0.3548349704217958,-0.3072209313927111,-0.3684240741941827
428,-0.35252586964710075,-0.3072209313927111,-0.3684240741941827
429,-0.34451140156481275,-0.3072209313927111,-0.3684240741941827
430,-0.3467265104406533,-0.3072209313927111,-0.3684240741941827
431,-0.35384506463661275,-0.3072209313927111,-0.3684240741941827
432,-0.3446535212781899,-0.3072209313927111,-0.3684240741941827
433,-0.3509982542855856,-0.3072209313927111,-0.3684240741941827
434,-0.35126144206317605,-0.3072209313927111,-0.3684240741941827
